Brand,Year,Horsepower,Engine Cylinders,Number of Doors,Price
BMW,2011,335.0,6.0,2.0,46135
BMW,2011,300.0,6.0,2.0,40650
BMW,2011,300.0,6.0,2.0,36350
BMW,2011,230.0,6.0,2.0,29450
BMW,2011,230.0,6.0,2.0,34500
BMW,2012,230.0,6.0,2.0,31200
BMW,2012,300.0,6.0,2.0,44100
BMW,2012,300.0,6.0,2.0,39300
BMW,2012,230.0,6.0,2.0,36900
BMW,2013,230.0,6.0,2.0,37200
BMW,2013,300.0,6.0,2.0,39600
BMW,2013,230.0,6.0,2.0,31500
BMW,2013,300.0,6.0,2.0,44400
BMW,2013,230.0,6.0,2.0,37200
BMW,2013,320.0,6.0,2.0,48250
BMW,2013,320.0,6.0,2.0,43550
FIAT,2017,160.0,4.0,2.0,27495
FIAT,2017,160.0,4.0,2.0,24995
FIAT,2017,160.0,4.0,2.0,28195
BMW,2016,240.0,4.0,2.0,32850
BMW,2016,240.0,4.0,2.0,38650
BMW,2016,320.0,6.0,2.0,48750
BMW,2016,240.0,4.0,2.0,34850
BMW,2016,240.0,4.0,2.0,40650
BMW,2016,320.0,6.0,2.0,44150
BMW,2016,240.0,4.0,2.0,32850
BMW,2016,320.0,6.0,2.0,46150
BMW,2016,320.0,6.0,2.0,50750
BMW,2017,335.0,6.0,2.0,46450
BMW,2017,335.0,6.0,2.0,49050
BMW,2017,335.0,6.0,2.0,51050
BMW,2017,335.0,6.0,2.0,44450
BMW,2017,248.0,4.0,2.0,38950
BMW,2017,248.0,4.0,2.0,33150
BMW,2017,248.0,4.0,2.0,35150
BMW,2017,248.0,4.0,2.0,40950
Chrysler,2015,184.0,4.0,4.0,25170
Chrysler,2015,184.0,4.0,4.0,23950
Chrysler,2015,295.0,6.0,4.0,29370
Chrysler,2015,184.0,4.0,4.0,21995
Chrysler,2015,184.0,4.0,4.0,26625
Chrysler,2015,295.0,6.0,4.0,30825
Chrysler,2016,184.0,4.0,4.0,21995
Chrysler,2016,184.0,4.0,4.0,27795
Chrysler,2016,295.0,6.0,4.0,31785
Chrysler,2016,295.0,6.0,4.0,29905
Chrysler,2016,184.0,4.0,4.0,22490
Chrysler,2016,184.0,4.0,4.0,27570
Chrysler,2016,184.0,4.0,4.0,25690
Chrysler,2016,184.0,4.0,4.0,24490
Chrysler,2017,295.0,6.0,4.0,29905
Chrysler,2017,295.0,6.0,4.0,31785
Chrysler,2017,184.0,4.0,4.0,26685
Chrysler,2017,184.0,4.0,4.0,22490
Chrysler,2017,184.0,4.0,4.0,25690
Chrysler,2017,295.0,6.0,4.0,30900
Chrysler,2017,184.0,4.0,4.0,27795
Chrysler,2017,184.0,4.0,4.0,21995
Chrysler,2017,184.0,4.0,4.0,24490
Mazda,2012,100.0,4.0,4.0,16020
Mazda,2012,100.0,4.0,4.0,14530
Mazda,2012,100.0,4.0,4.0,16860
Mazda,2012,100.0,4.0,4.0,15370
Mazda,2013,100.0,4.0,4.0,17050
Mazda,2013,100.0,4.0,4.0,15560
Mazda,2013,100.0,4.0,4.0,16210
Mazda,2013,100.0,4.0,4.0,14720
Mazda,2014,100.0,4.0,4.0,17050
Mazda,2014,100.0,4.0,4.0,15560
Mazda,2014,100.0,4.0,4.0,16210
Mazda,2014,100.0,4.0,4.0,14720
BMW,2015,300.0,6.0,4.0,47250
BMW,2015,240.0,4.0,4.0,41850
BMW,2016,240.0,4.0,4.0,43000
BMW,2016,300.0,6.0,4.0,49200
BMW,2017,320.0,6.0,4.0,49650
BMW,2017,248.0,4.0,4.0,43950
BMW,2015,241.0,4.0,4.0,41950
BMW,2015,335.0,6.0,4.0,50150
BMW,2015,240.0,4.0,4.0,37500
BMW,2015,300.0,6.0,4.0,43750
BMW,2015,240.0,4.0,4.0,39500
BMW,2015,180.0,4.0,4.0,34950
BMW,2015,300.0,6.0,4.0,45750
BMW,2015,180.0,4.0,4.0,32950
BMW,2016,180.0,4.0,4.0,41850
BMW,2016,320.0,6.0,4.0,47800
BMW,2016,240.0,4.0,4.0,38350
BMW,2016,240.0,4.0,4.0,40350
BMW,2016,240.0,4.0,4.0,38350
BMW,2016,240.0,4.0,4.0,42650
BMW,2016,180.0,4.0,4.0,33150
BMW,2016,180.0,4.0,4.0,35150
BMW,2016,180.0,4.0,4.0,44150
BMW,2016,320.0,6.0,4.0,45800
BMW,2017,248.0,4.0,4.0,38750
BMW,2017,180.0,4.0,4.0,35450
BMW,2017,180.0,4.0,4.0,33450
BMW,2017,248.0,4.0,4.0,40750
BMW,2017,180.0,4.0,4.0,42250
BMW,2017,248.0,4.0,4.0,42950
BMW,2017,320.0,6.0,4.0,49900
BMW,2017,320.0,6.0,4.0,47900
BMW,2017,180.0,4.0,4.0,44450
Chrysler,2015,300.0,6.0,4.0,37570
Chrysler,2015,292.0,6.0,4.0,31695
Chrysler,2015,292.0,6.0,4.0,38070
Chrysler,2015,292.0,6.0,4.0,44895
Chrysler,2015,300.0,6.0,4.0,35070
Chrysler,2015,292.0,6.0,4.0,42395
Chrysler,2015,292.0,6.0,4.0,34195
Chrysler,2015,292.0,6.0,4.0,40570
Chrysler,2016,300.0,6.0,4.0,38095
Chrysler,2016,300.0,6.0,4.0,35595
Chrysler,2016,292.0,6.0,4.0,45190
Chrysler,2016,292.0,6.0,4.0,32260
Chrysler,2016,292.0,6.0,4.0,37755
Chrysler,2016,292.0,6.0,4.0,41055
Chrysler,2016,300.0,6.0,4.0,36090
Chrysler,2016,292.0,6.0,4.0,42690
Chrysler,2016,292.0,6.0,4.0,38555
Chrysler,2016,292.0,6.0,4.0,35255
Chrysler,2016,300.0,6.0,4.0,38590
Chrysler,2016,292.0,6.0,4.0,34760
Chrysler,2017,292.0,6.0,4.0,41135
Chrysler,2017,292.0,6.0,4.0,45270
Chrysler,2017,300.0,6.0,4.0,38670
Chrysler,2017,292.0,6.0,4.0,38635
