,Brand,Year,Horsepower,Engine Cylinders,Number of Doors,Price
0,BMW,2011,335.0,6.0,2.0,46135
1,BMW,2011,300.0,6.0,2.0,40650
2,BMW,2011,300.0,6.0,2.0,36350
3,BMW,2011,230.0,6.0,2.0,29450
4,BMW,2011,230.0,6.0,2.0,34500
5,BMW,2012,230.0,6.0,2.0,31200
6,BMW,2012,300.0,6.0,2.0,44100
7,BMW,2012,300.0,6.0,2.0,39300
8,BMW,2012,230.0,6.0,2.0,36900
9,BMW,2013,230.0,6.0,2.0,37200
10,BMW,2013,300.0,6.0,2.0,39600
11,BMW,2013,230.0,6.0,2.0,31500
12,BMW,2013,300.0,6.0,2.0,44400
13,BMW,2013,230.0,6.0,2.0,37200
15,BMW,2013,320.0,6.0,2.0,48250
16,BMW,2013,320.0,6.0,2.0,43550
17,Audi,1992,172.0,6.0,4.0,2000
19,Audi,1992,172.0,6.0,4.0,2000
21,Audi,1992,172.0,6.0,4.0,2000
22,Audi,1993,172.0,6.0,4.0,2000
23,Audi,1993,172.0,6.0,4.0,2000
26,Audi,1993,172.0,6.0,4.0,2000
27,Audi,1994,172.0,6.0,4.0,2000
28,Audi,1994,172.0,6.0,4.0,2000
29,Audi,1994,172.0,6.0,4.0,2000
30,Audi,1994,172.0,6.0,4.0,2000
31,Audi,1994,172.0,6.0,4.0,2000
32,FIAT,2017,160.0,4.0,2.0,27495
33,FIAT,2017,160.0,4.0,2.0,24995
34,FIAT,2017,160.0,4.0,2.0,28195
35,Mercedes-Benz,1991,130.0,4.0,4.0,2000
36,Mercedes-Benz,1991,158.0,6.0,4.0,2000
37,Mercedes-Benz,1992,158.0,6.0,4.0,2000
38,Mercedes-Benz,1992,130.0,4.0,4.0,2000
39,Mercedes-Benz,1993,130.0,4.0,4.0,2000
40,Mercedes-Benz,1993,158.0,6.0,4.0,2000
41,BMW,2016,240.0,4.0,2.0,32850
42,BMW,2016,240.0,4.0,2.0,38650
43,BMW,2016,320.0,6.0,2.0,48750
44,BMW,2016,240.0,4.0,2.0,34850
45,BMW,2016,240.0,4.0,2.0,40650
46,BMW,2016,320.0,6.0,2.0,44150
47,BMW,2016,240.0,4.0,2.0,32850
48,BMW,2016,320.0,6.0,2.0,46150
49,BMW,2016,320.0,6.0,2.0,50750
50,BMW,2017,335.0,6.0,2.0,46450
51,BMW,2017,335.0,6.0,2.0,49050
52,BMW,2017,335.0,6.0,2.0,51050
53,BMW,2017,335.0,6.0,2.0,44450
54,BMW,2017,248.0,4.0,2.0,38950
55,BMW,2017,248.0,4.0,2.0,33150
56,BMW,2017,248.0,4.0,2.0,35150
57,BMW,2017,248.0,4.0,2.0,40950
58,Audi,1990,162.0,5.0,4.0,2000
59,Audi,1990,162.0,5.0,4.0,2000
60,Audi,1990,162.0,5.0,4.0,2000
61,Audi,1991,217.0,5.0,4.0,2000
62,Audi,1991,217.0,5.0,4.0,2000
63,Audi,1991,162.0,5.0,4.0,2000
64,Chrysler,2015,184.0,4.0,4.0,25170
65,Chrysler,2015,184.0,4.0,4.0,23950
66,Chrysler,2015,295.0,6.0,4.0,29370
67,Chrysler,2015,184.0,4.0,4.0,21995
68,Chrysler,2015,184.0,4.0,4.0,26625
69,Chrysler,2015,295.0,6.0,4.0,30825
70,Chrysler,2016,184.0,4.0,4.0,21995
71,Chrysler,2016,184.0,4.0,4.0,27795
72,Chrysler,2016,295.0,6.0,4.0,31785
73,Chrysler,2016,295.0,6.0,4.0,29905
74,Chrysler,2016,184.0,4.0,4.0,22490
75,Chrysler,2016,184.0,4.0,4.0,27570
76,Chrysler,2016,184.0,4.0,4.0,25690
77,Chrysler,2016,184.0,4.0,4.0,24490
78,Chrysler,2017,295.0,6.0,4.0,29905
79,Chrysler,2017,295.0,6.0,4.0,31785
80,Chrysler,2017,184.0,4.0,4.0,26685
81,Chrysler,2017,184.0,4.0,4.0,22490
82,Chrysler,2017,184.0,4.0,4.0,25690
