,Manufacturer,Model,HorsePower,Cylinders,Category,Price
0,BMW,1 Series M,335.0,6.0,"Factory Tuner,Luxury,High-Performance",46135
1,BMW,1 Series,300.0,6.0,"Luxury,Performance",40650
2,BMW,1 Series,300.0,6.0,"Luxury,High-Performance",36350
3,BMW,1 Series,230.0,6.0,"Luxury,Performance",29450
4,BMW,1 Series,230.0,6.0,Luxury,34500
5,BMW,1 Series,230.0,6.0,"Luxury,Performance",31200
6,BMW,1 Series,300.0,6.0,"Luxury,Performance",44100
7,BMW,1 Series,300.0,6.0,"Luxury,High-Performance",39300
8,BMW,1 Series,230.0,6.0,Luxury,36900
9,BMW,1 Series,230.0,6.0,Luxury,37200
10,BMW,1 Series,300.0,6.0,"Luxury,High-Performance",39600
11,BMW,1 Series,230.0,6.0,"Luxury,Performance",31500
12,BMW,1 Series,300.0,6.0,"Luxury,Performance",44400
13,BMW,1 Series,230.0,6.0,Luxury,37200
14,BMW,1 Series,230.0,6.0,"Luxury,Performance",31500
15,BMW,1 Series,320.0,6.0,"Luxury,High-Performance",48250
16,BMW,1 Series,320.0,6.0,"Luxury,High-Performance",43550
17,Audi,100,172.0,6.0,Luxury,2000
18,Audi,100,172.0,6.0,Luxury,2000
19,Audi,100,172.0,6.0,Luxury,2000
20,Audi,100,172.0,6.0,Luxury,2000
21,Audi,100,172.0,6.0,Luxury,2000
22,Audi,100,172.0,6.0,Luxury,2000
23,Audi,100,172.0,6.0,Luxury,2000
24,Audi,100,172.0,6.0,Luxury,2000
25,Audi,100,172.0,6.0,Luxury,2000
26,Audi,100,172.0,6.0,Luxury,2000
27,Audi,100,172.0,6.0,Luxury,2000
28,Audi,100,172.0,6.0,Luxury,2000
29,Audi,100,172.0,6.0,Luxury,2000
30,Audi,100,172.0,6.0,Luxury,2000
31,Audi,100,172.0,6.0,Luxury,2000
32,FIAT,124 Spider,160.0,4.0,Performance,27495
33,FIAT,124 Spider,160.0,4.0,Performance,24995
34,FIAT,124 Spider,160.0,4.0,Performance,28195
35,Mercedes-Benz,190-Class,130.0,4.0,Luxury,2000
36,Mercedes-Benz,190-Class,158.0,6.0,Luxury,2000
37,Mercedes-Benz,190-Class,158.0,6.0,Luxury,2000
38,Mercedes-Benz,190-Class,130.0,4.0,Luxury,2000
39,Mercedes-Benz,190-Class,130.0,4.0,Luxury,2000
40,Mercedes-Benz,190-Class,158.0,6.0,Luxury,2000
41,BMW,2 Series,240.0,4.0,"Luxury,Performance",32850
42,BMW,2 Series,240.0,4.0,Luxury,38650
43,BMW,2 Series,320.0,6.0,"Factory Tuner,Luxury,High-Performance",48750
44,BMW,2 Series,240.0,4.0,"Luxury,Performance",34850
45,BMW,2 Series,240.0,4.0,Luxury,40650
46,BMW,2 Series,320.0,6.0,"Factory Tuner,Luxury,High-Performance",44150
47,BMW,2 Series,240.0,4.0,"Luxury,Performance",32850
48,BMW,2 Series,320.0,6.0,"Factory Tuner,Luxury,High-Performance",46150
49,BMW,2 Series,320.0,6.0,"Factory Tuner,Luxury,High-Performance",50750
50,BMW,2 Series,335.0,6.0,"Factory Tuner,Luxury,High-Performance",46450
51,BMW,2 Series,335.0,6.0,"Factory Tuner,Luxury,High-Performance",49050
52,BMW,2 Series,335.0,6.0,"Factory Tuner,Luxury,High-Performance",51050
53,BMW,2 Series,335.0,6.0,"Factory Tuner,Luxury,High-Performance",44450
54,BMW,2 Series,248.0,4.0,"Luxury,Performance",38950
55,BMW,2 Series,248.0,4.0,"Luxury,Performance",33150
56,BMW,2 Series,248.0,4.0,"Luxury,Performance",35150
57,BMW,2 Series,248.0,4.0,Luxury,40950
58,Audi,200,162.0,5.0,Luxury,2000
59,Audi,200,162.0,5.0,Luxury,2000
60,Audi,200,162.0,5.0,Luxury,2000
61,Audi,200,217.0,5.0,"Luxury,Performance",2000
62,Audi,200,217.0,5.0,"Luxury,Performance",2000
